name,id,uri
CNH Industrial N.V.,https://rdf.gleif.org/L1/L-549300WGC2HZ5J67V817,https://company.org/resource/CNH%20Industrial%20N.V.
Garmin Ltd.,https://rdf.gleif.org/L1/L-2549001E0HIPIJQ0W046,https://company.org/resource/Garmin%20Ltd.
"ARAMARK SERVICES, INC.",https://rdf.gleif.org/L1/L-42YMHYH0XMHJEXDUB065,https://company.org/resource/Aramark%20Corporation
CARNIVAL PLC,https://rdf.gleif.org/L1/L-4DR1VPDQMHD3N3QW8W95,https://company.org/resource/Carnival%20Corporation%20%26%20plc
NXP Semiconductors N.V.,https://rdf.gleif.org/L1/L-724500M9BY5293JDF951,https://company.org/resource/NXP%20Semiconductors%20N.V.
MONDELEZ INTERNATIONAL HOLDINGS LLC,https://rdf.gleif.org/L1/L-5493000TT01RPEHXM080,https://company.org/resource/Mondel%C4%93z%20International%2C%20Inc.
MEDTRONIC PUBLIC LIMITED COMPANY,https://rdf.gleif.org/L1/L-549300GX3ZBSQWUXY261,https://company.org/resource/Medtronic%20plc
MCDONALD'S CORPORATION,https://rdf.gleif.org/L1/L-UE2136O97NLB5BYP9H04,https://company.org/resource/McDonald%27s%20Corporation
"PPG INDUSTRIES, INC.",https://rdf.gleif.org/L1/L-549300BKPEP01R3V6C59,https://company.org/resource/PPG%20Industries%2C%20Inc.
CUMMINS INC.,https://rdf.gleif.org/L1/L-ZUNI8PYC725B6H8JU438,https://company.org/resource/Cummins%20Inc.
THE CHARLES SCHWAB CORPORATION,https://rdf.gleif.org/L1/L-549300VSGCJ7E698NM85,https://company.org/resource/The%20Charles%20Schwab%20Corporation
"L3HARRIS TECHNOLOGIES, INC.",https://rdf.gleif.org/L1/L-549300UTE50ZMDBG8A20,https://company.org/resource/L3Harris%20Technologies%2C%20Inc.
HILTON WORLDWIDE HOLDINGS INC.,https://rdf.gleif.org/L1/L-549300HVGPK36ICB0B89,https://company.org/resource/Hilton%20Worldwide%20Holdings%20Inc.
KELLOGG COMPANY,https://rdf.gleif.org/L1/L-LONOZNOJYIBXOHXWDB86,https://company.org/resource/Kellogg%20Company
SYSCO CORPORATION,https://rdf.gleif.org/L1/L-5RGWIFLMGH3YS7KWI652,https://company.org/resource/Sysco%20Corporation
STONEX GROUP INC.,https://rdf.gleif.org/L1/L-549300JUF07L8VF02M60,https://company.org/resource/StoneX%20Group%20Inc.
TEXTRON INC.,https://rdf.gleif.org/L1/L-3PPKBHUG1HD6BO7RNR87,https://company.org/resource/Textron%20Inc.
AMPHENOL CORPORATION,https://rdf.gleif.org/L1/L-549300D3L3G0R4U4VT04,https://company.org/resource/Amphenol%20Corporation
LABCORP INTERNATIONAL HOLDINGS LIMITED,https://rdf.gleif.org/L1/L-54930061RLSL70SGK763,https://company.org/resource/LabCorp
Bristol-Myers Squibb SA,https://rdf.gleif.org/L1/L-5493000OZC4SYTEBVO64,https://company.org/resource/Bristol-Myers%20Squibb
CARRIER GLOBAL CORPORATION,https://rdf.gleif.org/L1/L-549300JE3W6CWY2NAN77,https://company.org/resource/Carrier%20Global%20Corporation
